GEOID,tri
060190012014,11.619
060190012022,10.954
060190013011,10.536
060670093321,4.472
060670094042,9.0
060855062043,20.1
060855062044,20.1
060855063011,15.199
060855063013,14.107
060374827013,55.444
060855063014,13.153
060855063021,12.083
060374827014,55.444
060374827021,31.67
060374827022,45.869
060374828001,41.073
060374828003,33.481
060816138004,478.188
060855120054,7.746
060855084042,16.371
060855084043,16.401
060855085031,17.378
060855085032,19.442
060855085033,18.439
060855085042,19.545
060855085044,19.545
060855085051,20.761
061050003003,281.185
060670075042,10.724
060670076011,16.34
060570004013,104.12
060570004021,82.65
060570004024,183.011
060570005013,169.576
060855115001,20.712
060855115005,40.509
060014506044,10.296
060014507011,24.556
060570005014,59.841
060570006003,42.202
060570007016,160.866
060570007021,102.504
060855120452,73.491
060855120454,147.323
060855120471,11.269
060855120473,95.478
060855120472,95.478
060855085052,23.152
060855085053,21.817
060855085081,15.684
061150411001,137.764
061150402002,2.236
060855086011,17.292
060855086012,16.371
060730085041,21.448
060855103001,39.459
060830011011,4.123
060830011021,69.014
060830011023,87.373
060014065003,35.482
060411070003,238.359
060411081002,146.636
060411081003,86.447
060411082002,54.47
060855086013,17.176
060855086021,17.059
060855086022,16.793
060855086023,17.292
060855087031,18.439
060855087032,16.852
060855087033,18.439
060855087034,16.852
060670077012,15.133
060670077021,13.638
060670077022,22.494
060670078011,9.899
060670078012,17.607
060670078021,20.396
060670076021,13.601
060411082003,47.634
060855087035,17.664
060670078024,21.633
060670079031,15.133
060816102013,20.976
060290049023,7.0
060290049025,8.426
060290047011,7.28
060290047013,7.211
060290047021,8.544
060290049012,8.66
060290028142,4.123
060290028081,3.464
060290028084,3.606
060290028212,3.606
060290058012,5.0
060290028085,3.464
060855130002,20.712
060855130003,20.712
060855117013,75.677
060871220035,82.486
060670074301,20.518
060670074302,15.492
060670074303,15.492
060670074311,14.731
060670074312,12.961
060670074321,11.0
060670074322,11.0
060670074331,11.358
060855087041,17.059
060855088001,16.155
060855088002,14.457
060855089001,11.832
060855089002,16.583
060133190006,73.212
060670074332,8.775
060855089003,16.0
060855090001,15.46
060855090002,15.395
060014276002,0.0
060014283012,1.732
060830012031,69.014
060830012032,254.931
060855120531,58.873
060855090003,14.697
060855090004,14.457
060855091021,15.46
